GEO_ID,NAME,S2501_C01_001E,S2501_C01_002EA,S2501_C01_003M,S2501_C01_004MA,S2501_C01_005EA
Geography,Zip code,Total estimate of occupied housing unit,One person,Two people,Three people,Four People
8600000US00918,ZCTA5 00918,8208,4126,2180,1160,742
8600000US00920,ZCTA5 00920,6874,2666,1861,1250,1097
8600000US00921,ZCTA5 00921,13599,4477,3985,2724,2413
8600000US00923,ZCTA5 00923,10045,3843,2760,1560,1882
8600000US00924,ZCTA5 00924,19373,5967,5804,3821,3781
8600000US00925,ZCTA5 00925,3178,1887,860,187,244
8600000US00926,ZCTA5 00926,37216,9832,12482,7209,7693
8600000US00927,ZCTA5 00927,5831,1968,2215,848,800
8600000US00934,ZCTA5 00934,25,25,0,0,0
8600000US00936,ZCTA5 00936,0,0,0,0,0
8600000US00949,ZCTA5 00949,25855,6951,8091,4920,5893
8600000US00950,ZCTA5 00950,0,0,0,0,0
8600000US00951,ZCTA5 00951,0,0,0,0,0
8600000US00952,ZCTA5 00952,2988,853,1118,424,593
8600000US00953,ZCTA5 00953,21798,3742,6381,5037,6638
8600000US00956,ZCTA5 00956,25459,6475,7656,5529,5799
8600000US00957,ZCTA5 00957,14764,3034,5116,3341,3273
8600000US00959,ZCTA5 00959,18297,5134,5262,3781,4120
8600000US00960,ZCTA5 00960,0,0,0,0,0
8600000US00961,ZCTA5 00961,11349,3068,3563,2376,2342
8600000US00962,ZCTA5 00962,7005,1673,2024,1555,1753
8600000US00965,ZCTA5 00965,2748,898,806,535,509
8600000US00966,ZCTA5 00966,6208,2174,1817,1109,1108
8600000US00968,ZCTA5 00968,1825,967,590,155,113
8600000US00969,ZCTA5 00969,15099,3535,5156,2835,3573
8600000US00971,ZCTA5 00971,9503,2691,2883,2004,1925
8600000US00976,ZCTA5 00976,21413,5094,6660,4358,5301
8600000US00979,ZCTA5 00979,7713,3627,2353,861,872
8600000US00982,ZCTA5 00982,6014,1782,1987,1162,1083
8600000US00983,ZCTA5 00983,14156,3428,4432,3109,3187
8600000US00985,ZCTA5 00985,12677,3449,3764,2578,2886
8600000US00987,ZCTA5 00987,21665,5074,6378,4633,5580
8600000US01001,ZCTA5 01001,7460,2826,2460,1010,1164
8600000US01002,ZCTA5 01002,9976,2726,3185,1632,2433
8600000US01003,ZCTA5 01003,31,18,8,0,5
8600000US01005,ZCTA5 01005,1785,503,534,322,426
8600000US01007,ZCTA5 01007,5558,1022,2097,854,1585
8600000US01008,ZCTA5 01008,548,122,236,114,76
8600000US01009,ZCTA5 01009,157,13,71,73,0
8600000US01010,ZCTA5 01010,1465,332,560,326,247
8600000US01011,ZCTA5 01011,572,109,198,133,132
8600000US01012,ZCTA5 01012,233,85,69,33,46
8600000US01013,ZCTA5 01013,9273,2902,2846,1800,1725
8600000US01020,ZCTA5 01020,12491,3802,4550,1694,2445
8600000US01022,ZCTA5 01022,1223,738,319,75,91
8600000US01026,ZCTA5 01026,459,157,192,52,58
8600000US01027,ZCTA5 01027,7871,2462,3069,1182,1158
8600000US01028,ZCTA5 01028,5978,1580,1992,829,1577
8600000US01029,ZCTA5 01029,316,87,136,59,34
8600000US01030,ZCTA5 01030,4290,894,1525,891,980
8600000US01031,ZCTA5 01031,531,188,221,45,77
8600000US01032,ZCTA5 01032,251,62,135,13,41
8600000US01033,ZCTA5 01033,2457,599,760,602,496
8600000US01034,ZCTA5 01034,878,146,368,166,198
8600000US01035,ZCTA5 01035,2316,691,1003,380,242
8600000US01036,ZCTA5 01036,1976,400,717,452,407
8600000US01037,ZCTA5 01037,238,33,111,47,47
8600000US01038,ZCTA5 01038,1337,367,561,265,144
8600000US01039,ZCTA5 01039,526,164,208,114,40
8600000US01040,ZCTA5 01040,15403,4865,4461,2758,3319
8600000US01050,ZCTA5 01050,925,228,356,157,184
8600000US01053,ZCTA5 01053,562,218,177,89,78
8600000US01054,ZCTA5 01054,818,177,359,120,162
8600000US01056,ZCTA5 01056,8086,2009,2753,1607,1717
8600000US01057,ZCTA5 01057,3495,799,1419,565,712
8600000US01060,ZCTA5 01060,6563,2869,1984,897,813
8600000US01062,ZCTA5 01062,4281,1137,1494,780,870
8600000US01063,ZCTA5 01063,0,0,0,0,0
8600000US01066,ZCTA5 01066,9,9,0,0,0
8600000US01068,ZCTA5 01068,679,114,265,124,176
8600000US01069,ZCTA5 01069,3630,1087,1249,653,641
8600000US01070,ZCTA5 01070,272,71,123,31,47
8600000US01071,ZCTA5 01071,499,119,215,77,88
8600000US01072,ZCTA5 01072,636,188,230,127,91
8600000US01073,ZCTA5 01073,2422,505,1004,318,595
8600000US01074,ZCTA5 01074,134,0,42,0,92
8600000US01075,ZCTA5 01075,6745,2045,2611,1045,1044
8600000US01077,ZCTA5 01077,3750,841,1468,644,797
8600000US01079,ZCTA5 01079,256,143,35,65,13
8600000US01080,ZCTA5 01080,911,203,284,131,293
8600000US01081,ZCTA5 01081,734,209,273,98,154
8600000US01082,ZCTA5 01082,4455,1355,1389,957,754
8600000US01083,ZCTA5 01083,1115,164,283,334,334
8600000US01084,ZCTA5 01084,74,13,34,11,16
8600000US01085,ZCTA5 01085,15542,4316,5424,2515,3287
8600000US01086,ZCTA5 01086,0,0,0,0,0
8600000US01088,ZCTA5 01088,211,105,62,22,22
8600000US01089,ZCTA5 01089,11971,4537,3418,1565,2451
8600000US01092,ZCTA5 01092,445,127,133,124,61
8600000US01093,ZCTA5 01093,141,23,72,23,23
8600000US01094,ZCTA5 01094,190,113,36,35,6
8600000US01095,ZCTA5 01095,5266,1078,1848,977,1363
8600000US01096,ZCTA5 01096,1034,272,369,137,256
8600000US01097,ZCTA5 01097,17,4,0,3,10
8600000US01098,ZCTA5 01098,556,178,259,54,65
8600000US01103,ZCTA5 01103,1418,963,253,26,176
8600000US01104,ZCTA5 01104,8989,2874,2610,1401,2104
8600000US01105,ZCTA5 01105,4831,2156,1132,583,960
8600000US01106,ZCTA5 01106,5822,1164,2075,1167,1416
8600000US01107,ZCTA5 01107,3825,951,1033,633,1208
8600000US01108,ZCTA5 01108,9899,2469,2573,2033,2824
8600000US01109,ZCTA5 01109,9591,2754,2559,1855,2423
8600000US01118,ZCTA5 01118,5701,1204,2366,982,1149
8600000US01119,ZCTA5 01119,4822,1427,1688,823,884
8600000US01128,ZCTA5 01128,1097,251,448,228,170
8600000US01129,ZCTA5 01129,2787,860,1003,417,507
8600000US01151,ZCTA5 01151,3243,993,779,571,900
8600000US01199,ZCTA5 01199,0,0,0,0,0
8600000US01201,ZCTA5 01201,19953,7111,6733,3070,3039
8600000US01220,ZCTA5 01220,3768,1372,1207,740,449
8600000US01222,ZCTA5 01222,348,87,164,43,54
8600000US01223,ZCTA5 01223,1028,266,474,132,156
8600000US01224,ZCTA5 01224,124,49,67,8,0
8600000US01225,ZCTA5 01225,1404,401,639,157,207
8600000US01226,ZCTA5 01226,2970,887,1166,490,427
8600000US01229,ZCTA5 01229,48,26,16,0,6
8600000US01230,ZCTA5 01230,3398,1130,1475,338,455
8600000US01235,ZCTA5 01235,1196,371,473,177,175
8600000US01236,ZCTA5 01236,427,53,239,37,98
8600000US01237,ZCTA5 01237,970,185,391,99,295
8600000US01238,ZCTA5 01238,2351,647,851,382,471
8600000US01240,ZCTA5 01240,2201,1046,754,155,246
8600000US01242,ZCTA5 01242,173,30,52,71,20
8600000US01243,ZCTA5 01243,164,42,96,13,13
8600000US01244,ZCTA5 01244,62,29,24,9,0
8600000US01245,ZCTA5 01245,405,144,198,26,37
8600000US01247,ZCTA5 01247,6848,2272,2745,1102,729
8600000US01253,ZCTA5 01253,365,95,187,69,14
8600000US01254,ZCTA5 01254,471,130,244,53,44
8600000US01255,ZCTA5 01255,326,89,141,33,63
8600000US01256,ZCTA5 01256,321,81,138,52,50
8600000US01257,ZCTA5 01257,1014,399,346,137,132
8600000US01258,ZCTA5 01258,195,86,75,18,16
8600000US01259,ZCTA5 01259,262,86,134,26,16
8600000US01260,ZCTA5 01260,131,39,11,0,81
8600000US01262,ZCTA5 01262,557,310,169,42,36
8600000US01264,ZCTA5 01264,76,27,39,3,7
8600000US01266,ZCTA5 01266,583,166,252,68,97
8600000US01267,ZCTA5 01267,2405,766,977,314,348
8600000US01270,ZCTA5 01270,342,73,153,69,47
8600000US01301,ZCTA5 01301,7995,3066,2722,1168,1039
8600000US01330,ZCTA5 01330,632,157,269,123,83
8600000US01331,ZCTA5 01331,5403,1557,1979,911,956
8600000US01337,ZCTA5 01337,1101,283,422,202,194
8600000US01338,ZCTA5 01338,73,14,36,17,6
8600000US01339,ZCTA5 01339,601,139,261,126,75
8600000US01340,ZCTA5 01340,722,211,300,102,109
8600000US01341,ZCTA5 01341,692,133,324,118,117
8600000US01342,ZCTA5 01342,563,101,184,98,180
8600000US01343,ZCTA5 01343,25,3,22,0,0
8600000US01344,ZCTA5 01344,602,138,207,139,118
8600000US01346,ZCTA5 01346,189,45,91,11,42
8600000US01347,ZCTA5 01347,78,47,25,0,6
8600000US01349,ZCTA5 01349,462,107,128,102,125
8600000US01350,ZCTA5 01350,47,26,10,4,7
8600000US01351,ZCTA5 01351,999,290,366,205,138
8600000US01354,ZCTA5 01354,583,155,262,69,97
